Scenario_Number,Solution_Type,First_Solution_Time,Final_Solution_Time
279,1,6857,10001
280,2,0,1
281,1,150,10001
282,1,62,10001
283,1,6,10001
284,1,4,10001
285,1,12,10001
286,1,0,10001
287,1,3,10001
288,2,0,0
289,1,1,10001
290,1,1716,10001
291,2,0,1370
292,1,53,10001
293,1,6,10001
294,1,13,10001
295,1,362,10001
296,2,0,1424
297,1,51,10001
298,1,119,10001
299,1,0,10001
300,1,2,10001
301,2,0,0
302,1,14,10001
303,1,0,10001
304,1,7,10001
305,1,4,10001
306,1,1,10001
307,1,7,10001
308,1,2,10001
309,1,236,10001
310,1,0,10001
311,1,67,10001
312,1,133,10001
313,1,1186,10001
314,1,4,10001
315,1,2,10001
316,1,0,10001
317,1,8,10001
318,1,3,10001
319,2,0,0
320,1,133,10001
321,1,20,10001
322,1,547,10001
323,1,16,10001
324,1,11,10001
325,1,3,10001
326,1,0,10001
327,1,17,10001
328,1,2,10001
329,2,0,7575
330,2,0,0
331,1,96,10001
332,1,0,10001
333,1,71,10001
334,1,6,10001
335,1,0,10001
336,1,15,10001
337,1,5264,10001
338,1,26,10001
339,1,0,10001
340,1,127,10001
341,2,0,1
342,1,0,10001
343,1,125,10001
344,2,0,3
345,1,13,10001
346,1,2,10001
347,1,42,10001
348,1,0,10001
349,1,2,10001
350,2,44,1120
351,1,15,10001
352,2,0,0
353,2,0,1
354,1,0,10001
355,1,2,10001
356,1,60,10001
357,1,0,10001
358,1,552,10001
359,1,0,10001
360,2,0,0
361,1,1,10001
362,1,38,10001
363,1,965,10001
364,1,27,10001
365,2,0,0
366,1,0,10001
367,2,31,2834
368,1,0,10001
369,1,0,10001
370,2,0,0
371,1,0,10001
372,2,0,166
373,2,0,2
374,2,0,0
375,0,10001,10001
376,1,2,10001
377,2,0,1394
378,1,64,10001
379,1,55,10001
380,1,0,10001
381,1,77,10001
382,1,11,10001
383,1,0,10001
384,2,0,285
385,1,1,10001
386,1,9,10001
387,1,11,10001
388,1,0,10001
389,1,0,10001
390,1,5,10001
391,2,0,112
392,1,6,10001
393,1,0,10001
394,1,65,10001
395,2,0,2247
396,2,0,0
397,2,0,34
398,1,17,10001
399,1,0,10001
400,2,9,291
401,1,0,10001
402,1,569,10001
403,1,1043,10001
404,1,196,10001
405,1,1604,10001
406,1,0,10001
407,1,0,10001
408,1,295,10001
409,2,8,341
410,1,55,10001
411,1,4021,10001
412,1,3823,10001
413,1,271,10001
414,2,0,56
415,1,77,10001
416,2,0,0
417,2,14,3949
418,1,10,10001
419,1,0,10001
420,1,37,10001
421,1,0,10001
422,1,0,10001
423,1,0,10001
424,1,32,10001
425,1,1211,10001
426,1,0,10001
427,1,1,10001
428,1,3832,10001
429,1,18,10001
430,1,7,10001
431,2,0,0
432,1,21,10001
433,1,0,10001
434,1,35,10001
435,1,158,10001
436,1,20,10001
437,1,1,10001
438,1,11,10001
439,2,85,99
440,1,399,10001
441,1,32,10001
442,0,10001,10001
443,1,18,10001
444,2,0,1
445,2,0,0
446,1,45,10001
447,1,0,10001
448,1,1086,10001
449,1,40,10001
450,1,57,10001
451,1,666,10001
452,1,46,10001
453,1,0,10001
454,1,4,10001
455,1,164,10001
456,2,0,0
457,2,0,3471
458,1,7,10001
459,1,757,10001
460,1,0,10001
461,1,6,10001
462,2,0,0
463,2,0,98
464,1,3,10001
465,1,52,10001
466,2,0,1767
467,1,14,10001
468,1,297,10001
469,1,5,10001
470,1,242,10001
471,1,6,10001
472,2,11,21
473,1,0,10001
474,1,160,10001
475,1,57,10001
476,1,108,10001
477,1,220,10001
478,1,295,10001
479,1,1,10001
480,1,26,10001
481,1,0,10001
482,1,2,10001
483,2,0,0
484,1,23,10001
485,1,18,10001
486,2,4,1129
487,1,3501,10001
488,1,7,10001
489,1,0,10001
490,1,0,10001
491,1,10,10001
492,1,26,10001
493,1,443,10001
494,1,10,10001
495,1,22,10001
496,1,0,10001
497,1,6,10001
498,1,142,10001
499,1,0,10001
500,2,0,4771
501,1,2,10001
502,2,0,0
503,1,3,10001
504,1,1,10001
505,1,405,10001
506,1,0,10001
507,1,3,10001
508,1,1,10001
509,1,0,10001
510,1,11,10001
511,2,2,196
512,1,1,10001
513,1,1,10001
514,1,1,10001
515,2,0,0
516,1,171,10001
517,1,106,10001
518,1,0,10001
519,1,5,10001
520,1,8,10001
521,1,57,10001
522,2,0,1
523,2,0,1230
524,1,170,10001
525,1,24,10001
526,1,2,10001
527,2,11,38
528,2,0,524
529,1,0,10001
530,1,8,10001
531,1,0,10001
532,0,10001,10001
533,1,23,10001
534,1,1,10001
535,1,102,10001
536,1,0,10001
537,2,0,1
538,1,0,10001
539,2,0,0
540,1,21,10001
541,2,6,41
542,1,75,10001
543,1,5697,10001
544,2,0,4829
545,1,130,10001
546,1,5,10001
547,2,33,357
548,1,0,10001
549,1,11,10001
550,1,0,10001
551,1,0,10001
552,1,192,10001
553,1,156,10001
554,1,1,10001
555,1,483,10001
556,1,105,10001
557,1,69,10001
558,2,23,1905
559,1,20,10001
560,1,7,10001
561,1,39,10001
562,2,0,0
563,1,4,10001
564,1,68,10001
565,1,78,10001
566,1,4,10001
567,1,36,10001
568,1,0,10001
569,1,6,10001
570,1,53,10001
571,1,3,10001
572,1,0,10001
573,1,0,10001
574,1,292,10001
575,1,637,10001
576,1,1,10001
577,1,1,10001
578,1,14,10001
579,1,114,10001
580,1,119,10001
581,1,50,10001
582,1,2,10001
583,1,0,10001
584,1,4,10001
585,1,46,10001
586,1,0,10001
587,1,0,10001
588,2,0,956
589,1,23,10001
590,1,0,10001
591,1,1723,10001
592,1,0,10001
593,1,1271,10001
594,1,4859,10001
595,1,37,10001
596,2,6,7695
597,1,0,10001
598,1,28,10001
599,1,15,10001
600,1,14,10001
601,1,17,10001
602,1,0,10001
603,2,0,2
604,2,0,311
605,2,0,2282
606,1,33,10001
607,1,0,10001
608,1,11,10001
609,1,0,10001
610,1,0,10001
611,1,0,10001
612,2,0,0
613,1,11,10001
614,1,135,10001
615,1,31,10001
616,1,67,10001
617,1,52,10001
618,1,72,10001
619,1,0,10001
620,1,0,10001
621,1,28,10001
622,1,890,10001
623,1,8,10001
624,1,0,10001
625,2,0,537
626,2,0,3
627,1,27,10001
628,1,25,10001
629,1,0,10001
630,1,11,10001
631,0,10001,10001
632,1,0,10001
633,1,2,10001
634,1,3,10001
635,1,2472,10001
636,1,0,10001
637,1,132,10001
638,2,0,1
639,2,0,0
640,2,1,1284
641,1,10,10001
642,2,0,0
643,2,0,1
644,1,18,10001
645,0,10001,10001
646,1,0,10001
647,1,0,10001
648,1,0,10001
649,1,946,10001
650,2,21,2937
651,1,7,10001
652,1,36,10001
653,1,42,10001
654,2,29,1307
655,1,60,10001
656,1,0,10001
657,1,0,10001
658,1,0,10001
659,1,50,10001
660,1,13,10001
661,1,4,10001
662,1,1,10001
663,1,14,10001
664,1,0,10001
665,1,0,10001
666,1,6708,10001
667,2,0,0
668,1,627,10001
669,1,0,10001
670,1,5,10001
671,1,34,10001
672,1,0,10001
673,2,0,239
674,2,0,1
675,1,1912,10001
676,2,0,1
677,1,454,10001
678,1,250,10001
679,1,27,10001
680,1,0,10001
681,1,9,10001
682,1,5043,10001
683,1,21,10001
684,2,0,0
685,1,5,10001
686,1,0,10001
687,1,71,10001
688,1,0,10001
689,1,0,10001
690,1,0,10001
691,1,193,10001
692,1,539,10001
693,1,7,10001
694,1,151,10001
695,1,2,10001
696,2,0,0
697,1,733,10001
698,1,0,10001
699,1,104,10001
700,1,104,10001
701,1,15,10001
702,1,10,10001
703,1,42,10001
704,2,0,1
705,1,0,10001
706,1,147,10001
707,2,0,0
708,1,0,10001
709,2,0,1
710,2,0,198
711,2,10,12
712,2,0,0
713,1,3320,10001
714,1,2211,10001
715,1,211,10001
716,1,0,10001
717,2,0,1
718,1,0,10001
719,2,0,585
720,1,7,10001
721,1,0,10001
722,1,0,10001
723,1,129,10001
724,1,5,10001
725,1,0,10001
726,0,10001,10001
727,1,0,10001
728,2,0,0
729,1,0,10001
730,1,662,10001
731,1,0,10001
732,1,364,10001
733,1,58,10001
734,1,0,10001
735,1,0,10001
736,2,0,5900
737,1,0,10001
738,1,34,10001
739,1,27,10001
740,1,0,10001
741,1,0,10001
742,1,97,10001
743,1,82,10001
744,2,0,9457
745,1,0,10001
746,1,33,10001
747,2,0,0
748,1,8,10001
749,2,0,1
750,2,0,0
751,1,5,10001
752,1,0,10001
753,1,11,10001
754,2,3,4
755,2,0,6835
756,1,6,10001
757,1,0,10001
758,1,1,10001
759,1,38,10001
760,1,0,10001
761,1,4,10001
762,1,0,10001
763,2,0,1
764,2,0,0
765,1,506,10001
766,1,26,10001
767,2,12,80
768,1,6,10001
769,1,0,10001
770,1,0,10001
771,1,0,10001
772,1,41,10001
773,2,0,1
774,1,0,10001
775,1,0,10001
776,1,31,10001
777,2,0,0
778,1,42,10001
779,1,11,10001
780,2,0,0
781,2,2,865
782,1,141,10001
783,1,120,10001
784,2,4,3688
785,1,20,10001
786,0,10001,10001
787,1,1,10001
788,1,28,10001
789,1,4,10001
790,2,0,45
791,1,960,10001
792,1,2330,10001
793,1,2,10001
794,1,0,10001
795,1,0,10001
796,1,0,10001
797,1,384,10001
798,2,57,4933
799,1,0,10001
800,1,0,10001
801,1,7,10001
802,1,0,10001
803,2,17,2087
804,2,0,0
805,1,19,10001
806,1,131,10001
807,1,30,10001
808,1,55,10001
809,1,0,10001
810,1,596,10001
811,2,0,1
812,1,490,10001
813,2,4,219
814,0,10001,10001
815,1,2,10001
816,2,0,1
817,1,310,10001
818,1,4,10001
819,1,34,10001
820,2,0,1
821,2,0,0
822,2,0,0
823,2,0,0
824,2,11,199
825,1,0,10001
826,1,59,10001
827,2,0,1
828,1,1,10001
829,1,0,10001
830,1,0,10001
831,1,69,10001
832,1,0,10001
833,2,0,1
834,2,0,0
835,2,0,2027
836,1,55,10001
837,1,65,10001
838,1,41,10001
839,1,79,10001
840,1,6,10001
841,2,0,0
842,2,0,0
843,1,0,10001
844,1,0,10001
845,1,1,10001
846,1,10,10001
847,1,1183,10001
848,1,126,10001
849,1,1,10001
850,1,13,10001
851,1,275,10001
852,1,2298,10001
853,2,0,1
854,1,19,10001
855,1,2253,10001
856,1,1,10001
857,2,0,0
858,1,62,10001
859,2,0,0
860,0,10001,10001
861,1,53,10001
862,1,20,10001
863,1,0,10001
864,1,0,10001
865,1,6,10001
866,1,3,10001
867,1,0,10001
868,1,0,10001
869,1,21,10001
870,1,41,10001
871,1,288,10001
872,0,10001,10001
873,1,0,10001
874,1,1849,10001
875,1,128,10001
876,1,6,10001
877,1,31,10001
878,1,0,10001
879,2,0,79
880,1,29,10001
881,2,0,2
882,1,60,10001
883,1,2756,10001
884,1,5,10001
885,1,193,10001
886,2,0,3
887,1,0,10001
888,1,18,10001
889,1,0,10001
890,2,0,4
891,1,2,10001
892,1,129,10001
893,1,23,10001
894,1,0,10001
895,1,0,10001
896,1,120,10001
897,1,108,10001
898,1,11,10001
899,1,0,10001
900,1,608,10001
901,1,0,10001
902,1,0,10001
903,1,4,10001
904,1,1,10001
905,2,0,965
906,1,0,10001
907,1,53,10001
908,1,4,10001
909,1,530,10001
910,1,954,10001
911,1,0,10001
912,1,73,10001
913,2,0,0
914,1,6,10001
915,2,0,1
916,1,0,10001
917,1,115,10001
918,2,0,5326
919,2,2,3
920,1,8,10001
921,1,8,10001
922,1,5,10001
923,2,0,159
924,2,0,3620
925,1,2300,10001
926,1,8,10001
927,1,0,10001
928,1,0,10001
929,1,48,10001
930,1,1,10001
931,1,0,10001
932,1,0,10001
933,1,113,10001
934,1,11,10001
935,1,0,10001
936,2,0,15
937,1,317,10001
938,1,15,10001
939,1,19,10001
940,1,22,10001
941,1,0,10001
942,1,177,10001
943,1,67,10001
944,1,0,10001
945,1,13,10001
946,1,0,10001
947,1,51,10001
948,1,1,10001
949,1,16,10001
950,1,12,10001
951,1,0,10001
952,1,3,10001
953,1,0,10001
954,1,16,10001
955,1,20,10001
956,1,0,10001
957,2,0,0
958,1,0,10001
959,1,0,10001
960,1,0,10001
961,1,396,10001
962,1,1,10001
963,0,10001,10001
964,2,2,4330
965,1,0,10001
966,1,10,10001
967,1,0,10001
968,1,51,10001
969,1,0,10001
970,1,109,10001
971,1,14,10001
972,1,6,10001
973,1,64,10001
974,1,9,10001
975,1,29,10001
976,2,0,0
977,2,0,5204
978,1,16,10001
979,1,19,10001
980,1,0,10001
981,1,0,10001
982,1,90,10001
983,1,24,10001
984,1,0,10001
985,1,18,10001
986,2,0,1
987,1,0,10001
988,1,0,10001
989,1,7,10001
990,2,0,0
991,1,20,10001
992,1,89,10001
993,1,0,10001
994,1,19,10001
995,2,0,0
996,1,0,10001
997,1,77,10001
998,1,0,10001
999,1,50,10001
